State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Person Type,Injury Severity,Crash Date.day-of-week
Utah,Clear,1/1/2011,1,Urban-Other Principal Arterial,34,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Virginia,Rain,1/1/2011,1,Rural-Minor Collector,20,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Washington,Clear,1/1/2011,1,Urban-Collector,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Washington,Clear,1/1/2011,1,Urban-Collector,18,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Georgia,Cloudy,1/1/2011,1,Urban-Local Road or Street,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Hawaii,Clear,1/1/2011,1,Rural-Principal Arterial-Other,43,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Hawaii,Clear,1/1/2011,1,Rural-Principal Arterial-Other,46,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Illinois,Clear,1/1/2011,1,Rural-Major Collector,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Indiana,Cloudy,1/1/2011,1,Rural-Local Road or Street,20,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Louisiana,Cloudy,1/1/2011,1,Urban-Principal Arterial-Interstate,32,Pedestrian,Fatal Injury (K),6
Louisiana,Cloudy,1/1/2011,1,Urban-Principal Arterial-Interstate,36,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Maryland,Rain,1/1/2011,1,Rural-Major Collector,84,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Nebraska,Clear,1/1/2011,1,Rural-Minor Arterial,52,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,7,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Florida,Rain,1/1/2011,1,Urban-Minor Arterial,7,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Georgia,"Fog, Smog, Smoke",1/1/2011,1,Urban-Local Road or Street,25,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,4,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,12,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,14,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,17,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,21,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,29,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,34,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,42,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,48,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Indiana,Rain,1/1/2011,1,Rural-Local Road or Street,33,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,3,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,8,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,33,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Maryland,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,30,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Michigan,Rain,1/1/2011,1,Rural-Major Collector,42,Pedestrian,Fatal Injury (K),6
Missouri,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,31,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Nebraska,Clear,1/1/2011,1,Rural-Local Road or Street,39,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Ohio,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,25,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Ohio,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,35,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Oklahoma,Clear,1/1/2011,2,Rural-Local Road or Street,48,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,2,Urban-Minor Arterial,43,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,2,Urban-Minor Arterial,43,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Utah,Clear,1/1/2011,1,Urban-Other Principal Arterial,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Utah,Clear,1/1/2011,1,Urban-Other Principal Arterial,26,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
West Virginia,Rain,1/1/2011,1,Rural-Principal Arterial-Other,68,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Wisconsin,Clear,1/1/2011,1,Urban-Collector,26,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Maryland,Rain,1/1/2011,1,Rural-Major Collector,48,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Nebraska,Clear,1/1/2011,1,Rural-Minor Arterial,56,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Nebraska,Clear,1/1/2011,1,Rural-Minor Arterial,59,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Nebraska,Clear,1/1/2011,1,Rural-Minor Arterial,59,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Nebraska,Clear,1/1/2011,1,Rural-Minor Arterial,79,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
New York,"Fog, Smog, Smoke",1/1/2011,1,Rural-Principal Arterial-Interstate,44,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Ohio,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,8,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Ohio,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Ohio,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,25,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Ohio,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,27,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Oklahoma,Clear,1/1/2011,2,Urban-Principal Arterial-Other Freeways or Expressways,41,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
South Carolina,"Fog, Smog, Smoke",1/1/2011,1,Rural-Minor Arterial,29,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
South Carolina,"Fog, Smog, Smoke",1/1/2011,1,Rural-Minor Arterial,40,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Tennessee,Rain,1/1/2011,1,Urban-Collector,22,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,21,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,57,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Wisconsin,Cloudy,1/1/2011,1,Urban-Principal Arterial-Interstate,34,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Georgia,Rain,1/1/2011,1,Urban-Minor Arterial,44,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Louisiana,Clear,1/1/2011,1,Rural-Local Road or Street,46,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Oklahoma,Clear,1/1/2011,1,Rural-Principal Arterial-Other,56,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
South Carolina,Clear,1/1/2011,1,Rural-Principal Arterial-Interstate,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Tennessee,Clear,1/1/2011,1,Urban-Collector,18,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Tennessee,Clear,1/1/2011,1,Urban-Collector,19,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Tennessee,Clear,1/1/2011,1,Urban-Collector,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Cloudy,1/1/2011,1,Rural-Local Road or Street,28,Pedestrian,Fatal Injury (K),6
Georgia,Rain,1/1/2011,2,Urban-Other Principal Arterial,49,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Louisiana,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,25,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Louisiana,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,41,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
New York,"Fog, Smog, Smoke",1/1/2011,1,Rural-Principal Arterial-Interstate,32,Pedestrian,Fatal Injury (K),6
Ohio,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,5,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Ohio,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,7,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Oklahoma,Clear,1/1/2011,2,Urban-Principal Arterial-Other Freeways or Expressways,16,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Oklahoma,Clear,1/1/2011,2,Urban-Principal Arterial-Other Freeways or Expressways,37,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
South Carolina,"Fog, Smog, Smoke",1/1/2011,1,Rural-Minor Arterial,24,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
South Carolina,"Fog, Smog, Smoke",1/1/2011,1,Rural-Minor Arterial,29,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Wisconsin,Cloudy,1/1/2011,1,Urban-Principal Arterial-Interstate,41,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Wisconsin,Cloudy,1/1/2011,1,Urban-Principal Arterial-Interstate,49,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Louisiana,Clear,1/1/2011,1,Rural-Local Road or Street,36,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Louisiana,Clear,1/1/2011,1,Rural-Local Road or Street,70,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Oklahoma,Clear,1/1/2011,1,Rural-Principal Arterial-Other,2,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Oklahoma,Clear,1/1/2011,1,Rural-Principal Arterial-Other,12,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Oklahoma,Clear,1/1/2011,1,Rural-Principal Arterial-Other,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,2,Rural-Local Road or Street,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,2,Rural-Local Road or Street,20,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Tennessee,Clear,1/1/2011,1,Urban-Collector,26,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Texas,Cloudy,1/1/2011,1,Rural-Local Road or Street,12,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Cloudy,1/1/2011,1,Rural-Local Road or Street,15,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Cloudy,1/1/2011,1,Rural-Local Road or Street,45,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Utah,Clear,1/1/2011,1,Rural-Minor Arterial,51,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Utah,Clear,1/1/2011,1,Rural-Minor Arterial,64,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Virginia,Clear,1/1/2011,1,Rural-Principal Arterial-Other,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Wisconsin,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,20,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Wisconsin,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,50,Pedestrian,Fatal Injury (K),6
Georgia,Rain,1/1/2011,2,Urban-Other Principal Arterial,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Louisiana,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,11,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Louisiana,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,34,Pedestrian,Fatal Injury (K),6
Louisiana,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,41,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Louisiana,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,49,Driver of a Motor Vehicle In-Transport,No Injury (O),6
New Mexico,Clear,1/1/2011,1,Rural-Principal Arterial-Other,30,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
New Mexico,Clear,1/1/2011,1,Rural-Principal Arterial-Other,32,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
North Carolina,Cloudy,1/1/2011,1,Rural-Local Road or Street,41,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
New Jersey,Clear,1/1/2011,1,Urban-Local Road or Street,29,Pedestrian,Incapacitating Injury (A),6
New Jersey,Clear,1/1/2011,1,Urban-Local Road or Street,42,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,13,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,29,Pedestrian,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Rural-Local Road or Street,0,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Texas,Clear,1/1/2011,1,Rural-Local Road or Street,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Rural-Local Road or Street,18,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Texas,Clear,1/1/2011,1,Rural-Local Road or Street,21,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Michigan,Rain,1/1/2011,1,Urban-Other Principal Arterial,,Driver of a Motor Vehicle In-Transport,No Injury (O),6
North Carolina,Clear,1/1/2011,1,Rural-Minor Arterial,17,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,2,Rural-Principal Arterial-Other,30,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Texas,Clear,1/1/2011,2,Rural-Principal Arterial-Other,53,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Texas,Clear,1/1/2011,2,Rural-Principal Arterial-Other,85,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,1,Urban-Other Principal Arterial,19,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Pennsylvania,Clear,1/1/2011,1,Urban-Other Principal Arterial,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,1,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,8,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,18,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,28,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,36,Driver of a Motor Vehicle In-Transport,Possible Injury (C),6
Illinois,Clear,1/1/2011,1,Rural-Minor Arterial,8,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Illinois,Clear,1/1/2011,1,Rural-Minor Arterial,61,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Indiana,Clear,1/1/2011,1,Urban-Collector,29,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Rural-Principal Arterial-Other,60,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Clear,1/1/2011,1,Rural-Principal Arterial-Other,63,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Alabama,Rain,1/1/2011,1,Rural-Principal Arterial-Other,49,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
California,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,24,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
California,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,29,Driver of a Motor Vehicle In-Transport,Possible Injury (C),6
California,Rain,1/1/2011,1,Urban-Principal Arterial-Interstate,41,Driver of a Motor Vehicle In-Transport,Possible Injury (C),6
Alabama,Clear,1/1/2011,1,Urban-Collector,47,Pedestrian,Fatal Injury (K),6
Alabama,Clear,1/1/2011,1,Urban-Collector,,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
South Carolina,Clear,1/1/2011,1,Rural-Local Road or Street,35,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Rural-Local Road or Street,25,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Hawaii,Clear,1/1/2011,1,Rural-Major Collector,16,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Hawaii,Clear,1/1/2011,1,Rural-Major Collector,70,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Louisiana,Clear,1/1/2011,1,Rural-Minor Collector,17,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Louisiana,Clear,1/1/2011,1,Rural-Minor Collector,34,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
New Jersey,Clear,1/1/2011,1,Urban-Local Road or Street,23,Pedestrian,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,22,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Pennsylvania,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,28,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,3,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,11,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,14,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,25,Pedestrian,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,28,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,,Driver of a Motor Vehicle In-Transport,Unknown,6
California,Clear,1/1/2011,1,Rural-Local Road or Street,41,Driver of a Motor Vehicle In-Transport,Possible Injury (C),6
California,Cloudy,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,59,Driver of a Motor Vehicle In-Transport,No Injury (O),6
California,Cloudy,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,,Driver of a Motor Vehicle In-Transport,Unknown,6
California,Clear,1/1/2011,1,Rural-Principal Arterial-Interstate,1,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
California,Clear,1/1/2011,1,Rural-Principal Arterial-Interstate,26,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
California,Clear,1/1/2011,1,Rural-Major Collector,25,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
New Mexico,Clear,1/1/2011,1,Urban-Other Principal Arterial,32,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
California,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,61,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,1,Rural-Local Road or Street,26,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
South Carolina,Clear,1/1/2011,1,Urban-Collector,37,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
South Carolina,Clear,1/1/2011,1,Urban-Collector,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,1,Urban-Collector,40,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,1,Urban-Collector,46,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
North Carolina,Rain,1/1/2011,1,Rural-Local Road or Street,69,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,25,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Wisconsin,Cloudy,1/1/2011,1,Rural-Local Road or Street,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,1,Rural-Local Road or Street,24,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Michigan,Rain,1/1/2011,1,Urban-Other Principal Arterial,43,Pedestrian,Fatal Injury (K),6
North Carolina,Clear,1/1/2011,1,Rural-Minor Arterial,50,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Texas,Clear,1/1/2011,2,Rural-Principal Arterial-Other,0,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Texas,Clear,1/1/2011,2,Rural-Principal Arterial-Other,92,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
North Carolina,Clear,1/1/2011,1,Rural-Local Road or Street,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Tennessee,Clear,1/1/2011,1,Rural-Minor Arterial,82,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,10,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,24,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
New York,Clear,1/1/2011,1,Urban-Local Road or Street,,Pedestrian,Fatal Injury (K),6
Illinois,Clear,1/1/2011,1,Rural-Minor Arterial,4,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Illinois,Clear,1/1/2011,1,Rural-Minor Arterial,61,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
